2017 is going to be a bumpy ride . DISCLAIMER. All articles published on this website reflect the views of their original authors; publication here in no way implies automatic agreement or approval of its contents. “If you have tears, prepare to shed them now.” — Shakespeare, Julius Caesar",1
19739,Hillary Planning Her Escape After a Trump Win With a $1.8 BILLION Money Transfer to QATAR,nan,"Email 

It appears Bill and Hillary Clinton are making plans to flee the country in the event Donald Trump wins this election. Reports are circulating that the Clinton’s have transferred 1.8 Billion dollars from the Clinton Foundation to the Qatar Central Bank via a facilitation/abatement of JP Morgan Chase & Company for reasons not revealed. 
This move of such a large sum of money to the country of Qatar says in itself Hillary Clinton knows she is going to lose the election, and she doesn’t plan to allow her or Bill to be prosecuted for various high crimes and treason under a Trump Administration. 
The country of Qatar happens to be one of a handful of countries that does not have an extradition treaty with the United States, thus would be a perfect place for her to run to in escaping justice. 
Donald Trump has said many times during his campaign and at the Presidential debates that once he gets into office he intends to prosecute her on various high crimes from her latest crimes of sending classified material via a personal e-mail server to gun-running to terrorist groups in Syria resulting in the deaths of 4 Americans in Benghazi. 
Apparently, Hillary is not the only person in Washington who has made plans to escape justice under a Trump Administration, John Kerry has quietly been selling his property in the US for millions of dollars of late, with an announcement of the sale of his $25 million Nantucket mansion in June 2016 as well as the sale of his yacht for $3.9 million in July 2016. 
President Barack H Obama has also apparently been making exit plans with his purchase of a $4.9 million seaside mansion in Dubai in January 2016, another non extradition country. 
Snopes and other supposed fact checking sites have debunked both the story of Obama’s purchase of the mansion and the firing of Rear Admiral Rick Williams, however over the last several months these sites have been busted for lying in trying to debunk such information as the before mentioned, when in fact the information is true. Snopes and other sites try their best to keep incriminating information from being believed, but the truth has a way of coming out on its own, as it always has. 
The Bush family has been quietly buying property as well with the purchase of 100,000 acres in Paraguay in 2006, yet another country good for the Bush family, since it does not allow extradition to any country if the death penalty is a possibility for the crime. If the corruption is found to go as far back as both of the Bush Administrations with any connections to them being the perpetrators of the events on 9-11, the death penalty would surely be a stipulation of any extradition request. Apparently, if things get going with prosecuting the corrupt and treasonous, the Bush’s plan on getting out of the country as well. 
Interestingly, the Bush family’s Nazi connections dating back to WWII seem to have played a part in the Paraguay purchase since most Nazis fled to South America after WWII. Since George H. W. Bush’s father Senator Prescott Bush was director and shareholder in companies that were connected with institutions financially backing the Nazis, the Bush family has a long history of being associated with Nazis. 
With the movement of huge amounts of funds, selling millions of dollars in real estate, and the purchase of millions in real estate overseas, we are seeing the plans of the corrupt in Washington who have been ripping of our country in the trillions, murdering US citizens in the thousands, and citizens in foreign countries by the millions since 9-11 finally realizing their crimes against humanity is about to be exposed. 
We are also witnessing the change from what amounts to nothing more than a Nazi Dictatorship in Washington to an actual Presidential Administration who not only will look to the Constitution as the basis of all laws, but one who is going to prosecute the criminals in our government and return it to being a government by the people, for the people, and of the people of the USA. Not the Dictatorship over the people, to the people and who disregards the people as we now have in power.",1
19740,Hurricane Donald and the Storms of Changing Climate,DavidSwanson,"Posted on November 10, 2016 by DavidSwanson 
John Feffer argued on Wednesday that Demagogue Donald, whose very existence will lead me to pretend I’m not from the U.S. the next time I’m in Europe, is part of a wider trend that’s already hit Europe hard: 
“The ugliness has been percolating in Europe for some time now. It wasn’t just Brexit, Britain’s unexpected rejection of the European Union. It was the election of militant populists throughout Eastern Europe — Viktor Orban in Hungary, Robert Fico in Slovakia, the party of Jaroslaw Kaczynski in Poland. It was the electoral surge of the National Front in France and the Alternative fur Deutschland in Germany. It was the backlash against immigrants, social welfare programs, and ‘lazy Mediterraneans’ — but also against bankers and Brussels bureaucrats.” 
I think the trend is even wider and deeper if the trend we’re talking about is that of making everything worse, of increasing inequality, of increasing militarism, of destroying the environment, of pushing profit over people. If that’s the trend, the bankers are its vanguard, not its victims, and it has saturated the international establishment almost as thoroughly as it has the rightwing sectarians. 
But the trend Feffer seems to have in mind is one of nationalism or ethnic identity or racism in opposition to global humanitarianism. Feffer’s new dystopian novel, Splinterlands , tells a future of shattered nations and international institutions, replaced with ever smaller and more disastrous warring city states. It’s a vision that should disturb us deeply, a vision of what this world could actually become if it gains nothing in wisdom, miraculously survives its nuclear weapons, and plows right ahead into climate chaos and total capitalist consumption. 
Feffer’s utopia seems to be a globe unified in peace. But his dystopia is not unlike that of an author like Ian Morris whose utopia is a globe unified by imperial war. The great threat on the horizon for both is balkanization or splintering. Feffer sees this brought on by bigotry, militarism, and environmental destruction. Morris sees the threat as, basically, un-Americanism. But where does barbaric tribalism stop and the promotion of more direct local democracy begin? Is bigger always better and smaller always worse? 
Feffer may not think so, because, in fact, a small utopia hidden in one corner of a sinking Titanic of an earth shows up in Splinterlands — something of a Luddite communal organic farm of a sort that essentially exists right now, a creation that cannot save us all or even itself unless expanded to a radically larger scale or duplicated innumerable times. The trick, then, may be to duplicate sustainable and just local living within a global system of nonviolent dispute resolution, cooperation, and fairness. 
Feffer says he thought a Trump figure wouldn’t arrive for four more years — though it’s interesting that a big role in his fictionalized future dismantling of the world is played by a hurricane named Donald. My question is whether Trump’s disastrous arrival might not in some ways be put to good use toward human survival. I’m thinking of a particular good use to which Hillary Clinton’s disastrous arrival would not have leant itself. That is to say, can we not now appeal to other nations to recognize that the presence of U.S. military troops on their soil represents their subservience to the odious Donald Trump, a figure hardly to be imagined as the mythical Barack Obama, man of peace? 
Can we encourage nonviolent resistance to U.S. militarism without encouraging a dive into a dystopian Splinterlands? Can the world refuse to participate in U.S. wars and U.S. weapons dealing while increasing its participation in cooperative non-military endeavors with the United States and the globe? Can U.S.-led war making, and the war making of other nations, come to be understood as the enemy of good globalism, not as the embodiment of UN humanitarian intervention in the affairs of those deemed less developed? 
The alternative to the world figuring out how to resist U.S. wars would seem to be the people of the United States shutting down its war machine from within, without the assistance of the other 96%. But how does that seem to be working out? This entry was posted in General . Bookmark the permalink .",1
19741,"RIP, Vine",Justin Green,Trending ,1
19742,MMR Vaccines Cause 340% Increased Risk of Autism in African American Infants,noreply@blogger.com (Alexander Light),". MMR Vaccines Cause 340% Increased Risk of Autism in African American Infants Vaccines do cause autism, and the U.S. Centers for Disease Control and Prevention (CDC) has been lyi... Print Email http://humansarefree.com/2016/11/mmr-vaccines-cause-340-increased-risk.html Vaccines do cause autism, and the U.S. Centers for Disease Control and Prevention (CDC) has been lying about this fact for years, according to newly uncovered information. As it turns out, the CDC fudged some numbers in a 2003 study it conducted on the MMR vaccine that, if honestly reported, would have revealed   of autism among male African American infants.But the CDC instead shrunk down the sample size of this study to conceal any possible correlation between MMR and autism, in the end publishing what amounts to fraudulent data that has repeatedly be used as ""evidence"" that vaccines do not cause autism. To the contrary, there are major effects of the MMR vaccine that at least three CDC officials who supported the bogus study are now culpable for withholding from the public, possibly resulting in untold thousands of cases of autism .The Focus Autism Foundation (FAF), a nonprofit group committed to raising awareness about autism, broke the news after speaking with a CDC whistleblower who at first came forward in anonymity but has now been revealed as epidemiologist Dr. William Thompson. Dr. Thompson helped lead several studies, including the one in question, that were used by the CDC to conceal   autism.In an interview with the FAF's Dr. Brian Hooker, the father of a child with vaccine-induced autism, Dr. Thompson broke down the history of deception within the CDC dating back to the days of the Tuskegee experiment, which involved government officials withholding treatments from African American men with syphilis as part of a medical experiment.According to Dr. Thompson, a 2003 CDC paper on autism, which was published in the peer-reviewed journal Pediatrics the following year, intentionally obscured data showing that MMR significantly increases a child's risk of autism, particularly when administered before the age of three. And African American boys, he says, have the highest overall risk. ""It's the lowest point in my career, that I went along with that paper,"" confessed Dr. Thompson. ""I went along with this; we didn't report significant findings."" CDC has known since at least 2001 that age when MMR is given affects autism risk Dr. Thompson's bold confession is rocking the health world, a significant portion of which bought into the CDC lie that vaccines do not cause autism: case closed. In truth, the CDC has engaged in a massive fraud against the American people, and really the entire world, by falsely claiming that scientific data debunks the vaccine-autism connection, when it actually shows the exact opposite.It is what famed gastroenterologist Dr. Andrew Wakefield tried to tell the CDC and other government officials more than a decade ago, only to be slandered and falsely accused of fraud himself. But as he explains in a new film, top CDC officials had actually vindicated his original findings, only to eventually succumb to political pressures seeking to bury all evidence of a connection   ""Over a decade ago, Dr. Scott Montgomery and I put forward a hypothesis for MMR vaccine and autism,"" explains Dr. Wakefield in the film. ""The age that you receive the vaccine influences the risk. This makes sense. For some infections like measles, the age of infection changes the outcome. We shared this hypothesis with vaccine officials.... ""A group of senior vaccine safety people at the CDC studied it. It panned out. We were right."" ""By November 9, 2001, nearly 13 years ago, senior CDC scientists knew that younger age of exposure to MMR was associated with an increased risk of autism. In 2004 they published, but they hid the results."" Be sure to watch Dr. Wakefield's film here . By Jonathan Benson  ",1
19743,’Gunshots Behind the Statue of Liberty’: China Declares ’Human Rights Crisis’ in U.S. - Breitbart,Frances Martel,"The Chinese government has published its   human rights report on the United States, condemning America for a variety of alleged “human rights violations” which include widespread gun ownership, “angry” voters in the 2016 elections, and “gunshots lingering in people’s ears behind the Statue of Liberty. ”[Multiple Chinese state media outlets, from the more measured Xinhua news service to the belligerent Global Times, published the   report titled, “The Human Rights Record of the United States in 2016. ” The report repeats many of the concerns of leftist agitators in the United States, emphasizing concerns about race relations and law enforcement while claiming widespread sexism and discrimination against Muslims.  The report does not compare America’s human rights record to that of China, a Communist country which forces women to have abortions as late as eight months into a pregnancy, conducts widespread espionage against its Muslim ethnic minorities (and has banned wearing burqas publicly in Western China) and regularly shuts down media outlets it does not directly control. Instead, the report  —   prepared by China’s Information Office of the State Council  —   condemns the United States for standing up for human rights internationally. “Wielding ‘the baton of human rights,’ it pointed fingers and cast blame on the human rights situation in many countries while paying no attention to its own terrible human rights problems,” the report reads. “With the gunshots lingering in people’s ears behind the Statue of Liberty, worsening racial discrimination and the election farce dominated by money politics, the   human rights defender has exposed its human rights ‘myth’ with its own deeds,” the report declares. The report blames “colonial history, enslavement, racial subordination and segregation, racial terrorism and racial inequality” for the supposedly deteriorating relationship between black and white people in America, while claiming that American “women frequently fell victims to sexual harassment and assault. ” “Muslims suffer increasingly serious discrimination,” the report continues. In accusing America of discriminating against its Muslim population, the Chinese expose themselves post to accusations of hypocrisy. The Uighur population of western China are majority Muslim and greatly inhibited in practicing their religion due to fears on the other side of the country that they are insufficiently loyal to Beijing. Most recently, China mandated that all cars in Xinjiang, its westernmost and most   province, install GPS tracking devices to allow the government full knowledge of where every car in the region is at any given time. China has previously forced Muslim shops to sell alcohol and cigarettes in the region as a way of diluting Islam in Xinjiang and forced Muslim Communist Party officials in the region to forego the Ramadan fast. Uighur Chinese nationals abroad have reported incidents of spying and coercion to prevent them from taking advantage of their freedom of expression in other countries to expose abuses against Muslim Uighurs in China. Nonetheless, the Chinese human rights report concluded America’s population was suffering oppression worth addressing more than their own nationals. The United States “exercised no effective control over guns, law enforcement departments abused their power, and crimes were not effectively contained,” Chinese officials claim, without mentioning that the right to bear arms is ensconced in the nation’s chief governing charter. The Chinese report also condemns the United States’ recent presidential election cycle, without noting that China is a Communist autocracy that does not allow for popular election of its leaders. “In 2016, money politics and    deals had controlled the presidential election, which was full of lies and farces,” the report reads. It goes on to claim the fact that voters were “angry” as a human rights abuse and condemn American media, who “published a lot of biased reports and commentaries during the 2016 election, fully demonstrating their failure in staying objective or impartial. ” The Information Office of the State Council concludes that America is “undergoing a ‘human rights crisis. ’” Beijing periodically releases human rights reports of this nature, weaponizing its critiques of the United States in an attempt to diminish Washington’s influence on international human rights norms. In 2014, the Chinese government went so far as to condemn the United States for broadcasting Jimmy Kimmel Live! a program the Chinese accused of “promoting racial hatred. ” Following the publication of the 2014 report, Chinese media released a report claiming “every aspect of society” in America was racially divided, citing riots in the city of Ferguson, Missouri.",0
19744,Airstrikes on Aleppo Resume as Russia Begins New Offensive in Syria - The New York Times,Anne Barnard and Ivan Nechepurenko,"BEIRUT, Lebanon  —   Warplanes resumed airstrikes on the besieged   sections of Aleppo, Syria, on Tuesday, as Russia began a major new offensive against insurgents battling Syria’s president, Bashar  . Russia’s defense minister, Sergei K. Shoigu, said it had started “a big operation to deliver massive strikes” against the Islamic State and the Levant Victory Front, formerly known as the Nusra Front, in Idlib and Homs Provinces. Jets taking off from Russia’s aircraft carrier, the Admiral Kuznetsov, conducted their first strikes on Syria, the Russian military said, noting that its forces were hitting targets in the two provinces. It was unclear whether the strikes on Aleppo were by Russian or Syrian government warplanes. The fighting shattered the relative calm that had prevailed in the   eastern parts of Aleppo for about three weeks. “Our house is being shaken,” Modar Sheikho, a nurse and antigovernment activist in   Aleppo, said in a text message. “The warplane is still in the sky. ” He shared an audio recording with the roar of a plane and the sound of explosions. Residents reported airstrikes on at least five Aleppo neighborhoods. The extent of the casualties was unclear, but they appeared to include at least three civilians, including a woman, who were killed in the neighborhood of Masaken Hanano, and 10 others who were wounded. There were conflicting reports about whether the attack had consisted of barrel bombs, which are usually dropped from helicopters, or an assault by fighter jets. “Since this morning, until now, dozens of shells and rockets have bombed Aleppo,” Mohammad   a resident of eastern Aleppo, said in a text message, adding that he believed the planes were Russian fighter jets. Mr. Shoigu, at a meeting in Sochi, Russia, with President Vladimir V. Putin, said that a Russian warship, the Admiral Grigorovich, was taking part in this operation, launching cruise missiles against insurgent targets. “For the first time in the history of Russian Navy, the Admiral Kuznetsov aircraft carrier took part in combat, too,” he said. “Today, our   fighter jets began to work from this warship. ” Mr. Shoigu also briefed Mr. Putin on what he called the use of chemical weapons by the insurgents. The Russian military said that chemical weapons used by insurgents had caused three deaths of Syrian soldiers, and the hospitalization of dozens of soldiers. On Monday, a Russian fighter jet crashed off the Syrian coast as it tried to return to the Admiral Kuznetsov. The pilot ejected safely, and the Russian Defense Ministry blamed a technical failure. The fighting broke out a day after Mr. Putin spoke to   Donald J. Trump and agreed to cooperate on fighting “international terrorism and extremism,” according to a Kremlin statement. That declaration echoed Mr. Trump’s recent comments that he would try to work with Moscow and with Mr. Assad to fight against the Islamic State, also known as ISIS, ISIL or Daesh. Mr. Trump’s comments concerning Syria also received a favorable reaction on Tuesday from the United Nations special envoy for Syria, Staffan de Mistura. “What he’s been saying is quite interesting,” Mr. de Mistura said, speaking on the BBC’s “Hardtalk” program. “The focus, the priority, is Daesh, fighting terrorism. Second to do, if possible, a deal with Russia. Both points make a lot of sense. ” The diplomat said he had yet to speak directly to Mr. Trump or his associates. He also emphasized that in his view, the Syria conflict still required “a completely new approach to what is a political solution. ” The Syrian government has tended to call all its opponents terrorists, and Russia makes little distinction among the different groups fighting Mr. Assad. A constant sticking point has been that some of the rebels that the United States has supported have made battlefield alliances with   groups considered terrorists by Moscow and Washington alike. Mr. de Mistura has estimated that perhaps a few hundred of the 10, 000 or so fighters inside besieged eastern Aleppo are affiliated with Al Qaeda rebels say that number is lower and the government says it is higher. The Obama administration has said that fighting the Islamic State is the priority of the United States, not toppling Mr. Assad  —   though that is another stated American aim. Under Mr. Obama, the United States government has continued to support some rebel groups that Washington deems not to be extremist, and it has shunned direct cooperation with Moscow and Damascus, contending that their campaign in Syria has been focused less on defeating extremists and more on battling opposition groups fighting Mr. Assad. The Obama administration has also condemned what it says is indiscriminate bombing by the Syrian government and its Russian allies. A change in American policy under Mr. Trump, who is to take office in January, could involve a shift toward direct cooperation with Mr. Assad and with Russia against the Islamic State.",0
19745,Senior ISIS Strategist and Spokesman Is Reported Killed in Syria - The New York Times,Eric Schmitt and Anne Barnard,"WASHINGTON  —   The senior Islamic State strategist Abu Muhammad   was killed in northern Syria, the group announced on Tuesday, signaling the death of one of the world’s   terrorists. In Washington, the Pentagon spokesman, Peter Cook, confirmed that an American “precision strike” near Al Bab, Syria, on Tuesday night had targeted Mr. Adnani, but could not confirm his death. “We are still assessing the results of the strike,” he said in a statement. Two American officials, speaking on condition of anonymity to discuss intelligence, said a United States military drone had hit a vehicle Mr. Adnani was thought to be traveling in, following a close collaboration between the Central Intelligence Agency and Special Operations forces to track him. A founding member of the Islamic State, Mr. Adnani, a    Syrian, was the group’s chief spokesman and propagandist, running an operation that put out slickly produced videos of beheadings and massacres that shocked the world and sent a rush of recruits running to join the group in Syria. Accounts from arrested members of the Islamic State confirmed Mr. Adnani’s role as an operational leader as well. He oversaw the group’s external operations division, responsible for recruiting operatives around the world and instigating or organizing them to carry out attacks that have included Paris, Brussels and Dhaka, Bangladesh. In the context of recent territorial losses in Syria and Iraq by the Islamic State, Mr. Adnani’s death would be another in a series of serious setbacks. But even as the United States has focused much of its counterterrorism operations on targeted strikes against terrorist leaders, analysts say the jury is still out on whether such strikes have been truly effective at curbing groups as a whole. The Islamic State, in particular, has seemed built around the premise of maximum flexibility in the face of attacks. “In isolation, Adnani’s death represents the demise of an important strategic and operational leader of the Islamic State  —   though only one person,” said Seth G. Jones, a terrorism specialist at the RAND Corporation. “Adnani is likely replaceable, and the Islamic State will replace him as they have with other operatives that have been killed. ” In an official statement, the Islamic State said Mr. Adnani had been killed while checking up on the group’s military operations in Aleppo Province. In the northern part of that province, near the Turkish border, the Islamic State is currently under attack by a long list of antagonists. It is facing airstrikes from Turkey, the United States and Russia. And it is under attack on the ground from several directions, by Syrian rebels backed by the United States and Turkey and by   militias that are also backed by the United States. Mr. Adnani was prominent enough that he was frequently the subject of speculative reports about death and injury, including in January, when Iraqi officials announced that he had been critically injured in a strike in the Iraqi province of Anbar. That report was soon proved false. But analysts said it would be highly unlikely for the Islamic State to put out false information about the death of a leader of Mr. Adnani’s significance through its official channels. His death would be a   within the group’s most senior ranks. Mr. Adnani has been in sights of American military and counterterrorism forces for more than two years, and the State Department put a $5 million bounty on him. Intelligence officials in the United States and Europe, as well as arrested members of the group, say that the Islamic State’s external operations unit is a distinct body inside the group, with its    structure answering to Mr. Adnani, who in turn reports only to Abu Bakr   the   caliph of the Islamic State. Mr. Adnani was being groomed to succeed Mr. Baghdadi, analysts said. The Islamic State regularly carries out attacks on civilians and security forces in Iraq and Syria, where it still holds territory. But Mr. Adnani’s unit has focused on attacks abroad. It identifies recruits, provides training, hands out cash and arranges for the delivery of weapons. Although the unit’s main focus has been Europe, external attacks directed by ISIS or those acting in its name have been even more deadly elsewhere. At least 650 people have been killed in the group’s attacks on sites popular with Westerners, including in Turkey, Egypt and Tunisia, according to a New York Times analysis conducted this year. Even as the group has lost much of its territory and operatives from its   mark in 2014 and 2015, the kinds of attacks abroad that Mr. Adnani’s division oversees have continued. In May, Mr. Adnani declared: “Do you think, America, that defeat is by the loss of towns or territory? Were we defeated when we lost the cities in Iraq and retreated to the desert without a city or a land?” He offered an answer: “No, true defeat is losing the will and desire to fight. ” A vital part of the group’s strategy has been to inspire, and in some cases direct, opportunistic attacks against Western interests. In September 2014, Mr. Adnani made an explicit call to Muslims in the West to strike out wherever and however they could. “We will strike you in your homeland,” he warned foreign governments, calling on Muslims to kill Europeans, “especially the spiteful and filthy French. ” And he urged them to do it in any manner they could: “Smash his head with a rock, or slaughter him with a knife, or run him over with your car,” he said, according to a translation provided by the SITE Intelligence Group, which monitors extremist propaganda. In the year after that speech, at least two dozen plots linked to the Islamic State were documented. In some, there were no direct operational ties back to Syria, but there were clear signs that the attacker had, at the least, consumed the group’s propaganda online. “During the past decade, when it comes to both orchestrating and inciting violence in the West, no other leadership figures in jihadist groups have proven as dedicated or effective as ” said Michael S. Smith II of Kronos Advisory, a terrorism research and analysis firm, who is writing a book on the Islamic State’s external operations. His blended roles of spokesman and terrorism director is a reflection of the Islamic State’s central strategy: So much of the group’s impact and innovation in the world of violent Islamist extremism came from its new brand of messaging  —   mixing social media reach and savvy with   presentations of its worst atrocities. That in turn gave the group an ability to franchise its terror and expand its reach farther than its military capacity would otherwise go. Mr. Adnani’s real name was Taha Sobhi Falaha, and he was born in the town of Binnish in the northern Syrian province of Idlib. One Binnish resident, Muhammad Najdat Haj Kadour, whose mother was a distant relative of Mr. Adnani, said the family was “super poor. ” Mr. Adnani’s brothers had worked in the orchards of Mr. Kadour’s   grandfather, “watering the olive trees. ” Mr. Adnani was one of the few surviving, still active, founders of the ISIS precursor organization, Al Qaeda in Iraq. That group grew out of the armed Iraqi resistance to American occupation and forged an affiliation with Al Qaeda under Abu Musab  . Back then, the Syrian government was accused of facilitating the flow of foreign fighters, Syrians and others, to Iraq to fight the Americans. Mr. Adnani was among the first foreign volunteers to fight in Iraq. Mr. Adnani had already been arrested twice by the Syrian government when he went to fight in Iraq, according to Mr. Kadour, who is now a Syrian antigovernment activist who opposes the Islamic State. There, Mr. Adnani is believed to have helped found Al Qaeda in Iraq, and to have spent time in the American prison at Camp Bucca  —   a site now seen as the crucible of the Islamic State’s future leadership. Sometime in the first year or so after the Syrian uprising began against President Bashar   in 2011, Mr. Kadour and several other Binnish residents recalled, Mr. Adnani reappeared in town. Mr. Adnani and other members of Al Qaeda in Iraq, especially those with Syrian roots, were arriving in Syria to try to infiltrate the Syrian opposition. They eventually formed the Nusra Front, Al Qaeda’s branch in Syria. Later, the Islamic State split off from Al Qaeda and established itself as a separate group bent on declaring its   caliphate. As it set about literal statebuilding work  —   making street signs telling drivers they were entering the Islamic State, and issuing tickets and tax bills in the northeastern province of Raqqa  —   Mr. Adnani worked to build a virtual state, to publicize the group’s cause as a kind of viral phenomenon. The videos and publications he oversaw were a great success in driving recruitment, and in opening the door to attacks outside of Syria and Iraq. In that capacity, the virtual state he presided over may well outlive the physical one.",0
19746,Rudolph Giuliani Lashes Out at Black Lives Matter - The New York Times,Megan Twohey,"Rudolph W. Giuliani, the former mayor of New York, lashed out against the Black Lives Matter movement on Sunday, accusing it of ignoring    crime, inspiring violence against the police and promoting racism. “When you say black lives matter, that’s inherently racist,” Mr. Giuliani said in an appearance on CBS’s “Face the Nation. ” “Black lives matter. White lives matter. Asian lives matter. Hispanic lives matter. That’s   and it’s racist. ” His comments came as the country grappled with pain, confusion and anger after last week’s two fatal shootings of   men by the police and the killing of five police officers in Dallas, the deadliest assault on American law enforcement since the Sept. 11, 2001, attacks. As members of the Black Lives Matter movement and other concerned citizens pushed forward on Sunday with protests over police shootings, politicians, law enforcement officials and   leaders took to the airwaves, most of them with messages of hope, unity and understanding. Mr. Giuliani, a longtime promoter of aggressive policing, struck a different chord, saying the Black Lives Matter movement had targeted police officers. “They sing rap songs about killing police officers, and they talk about killing police officers, and they yell it out at their rallies and the police officers hear it,” he said. Mr. Giuliani said the movement unfairly focused on killings at the hands of the police when it should be focusing on murders committed by civilians in black neighborhoods. “When there are 60 shootings in Chicago over the Fourth of July and 14 murders, and Black Lives Matter is nonexistent,” he said, “and then there’s one police murder of very questionable circumstances and we hear from Black Lives Matter, we wonder: Do black lives matter, or only the very few black lives that are killed by white policemen?” Terrence Cunningham, the president of the International Association of Chiefs of Police, who appeared on the same show, was quick to dismiss Mr. Giuliani’s comments. “I wouldn’t make that connection,” he said. “I wouldn’t say that it’s Black Lives Matter that put a target on those police officers,” Mr. Cunningham continued, adding, “Unfortunately, I think, you know, people have really polarized this issue. If we really want to work towards solutions, we need to work together. ” Sherrilyn Ifill, the president of the NAACP Legal Defense and Educational Fund, who also appeared on the show, suggested that Mr. Giuliani was partly to blame for the rift. “He actually presided over one of the most discredited areas and periods of policing in the City of New York,” she said, “which is, in fact, responsible for a lot of the tension that exists between police officers and people in   communities. ” They were not the only ones to point fingers. In an appearance on ABC’s “This Week,” retired Lt. Gen. Michael Flynn, who is considered a potential running mate for Donald J. Trump, criticized Hillary Clinton for saying on Friday that white people needed to start listening to “legitimate cries” from  . Mr. Flynn said that Mrs. Clinton was “totally irresponsible when she talked about white people being to blame. ” William J. Bratton, the New York police commissioner, who appeared on Sunday on multiple shows, was among the many who emphasized unity. “This is a shared responsibility, trying to bridge these differences that are becoming quite evident through many of these videos,” Mr. Bratton said on ABC’s “This Week. ” “We have come a long way we have come a very long way. And I can speak for New York, but quite clearly events this past week show we have really almost just begun the journey. ” Separately on Sunday, as Mr. Trump has faced skepticism from some Republicans over his stances on abortion and other social issues, General Flynn, a Democrat, indicated a willingness to break from his party affiliation. During his appearance on “This Week,” he voiced support for abortion rights and brushed aside the issue of   marriage on the grounds that it was less important than matters like education and immigration.",0
19747,,Countrybunkererd,no doubt.  for their plans to work they need to get rid of the deplorables and such...at ALL costs.  Unfortunately most of them will be signed up to fight in a war they will die in.,1
19748,Even If Elected A Majority of French Wouldn’t Support Macron,Chris Tomlinson,"Current polls show a potential victory for Emmanuel Macron, but a new opinion poll shows his approval rating would be less than 50 per cent even if he wins Sunday. [The news opinion poll conducted by KANTAR   reveals that only 41 per cent of the French people have confidence in the globalist candidate. Even more revealing is that he is not even the most popular as he lags behind   former presidential candidate   Mélenchon who polls at 44 per cent approval, Le Figaro reports.  Macron’s numbers have stagnated at the 41 per cent mark whilst his rival,   migration candidate Marine Le Pen, stands at 29 per cent, but is on the rise. The figures also differ depending on which age group and income bracket are looked at. For retirees and wealthy business elites, Macron is more popular. For the unemployed and working class voters, Ms. Le Pen is much more popular. Last week, the contrast between the two candidates on the issue of the working class vote was made clear when both visited a Whirlpool factory in Macron’s hometown of Amiens which faces closure. Le Pen made a surprise visit to the factory where workers cheered her. When Macron arrived hours later, he was heckled and booed as he tried to explain how globalisation, which was taking their jobs to Poland, was an “opportunity” for them. In cities like Calais in the north of France, Le Pen also has resounding support amongst working class men and women who have found traditional industries gutted by globalisation and French labour laws. The actual support for Macron and his policies could be far lower than 41 per cent according to a survey by   Steria. The polling firms say that a large section of the voters who support Macron are only doing so because they want to oppose Ms. Le Pen rather than believe in the message of the globalist candidate. According to the survey, his true support amongst the French people is only around 20 per cent. Macron is currently projected to win the election on Sunday 60 per cent to 40 per cent. The 20 per cent figure is a significantly low level of confidence in a potential future president of France, though still above the historically low approval ratings of current President François Hollande who polls in the single digits. Le Pen has called Macron the “heir” to Hollande due to his lack of tough policies in dealing with terrorism and his   globalist economic position. If Macron’s polling numbers continue to slide, he could be the heir to Hollande’s unpopular polling numbers, as well. Follow Chris Tomlinson on Twitter at @TomlinsonCJ or email at ctomlinson@breitbart. com ",0
