21 again, and if you believe that you’ll believe anything. Some sweet treats on Len’s desk (he’s off having his prolapse sorted, so he won’t mind). 
However, excitement turned to disappointment as the true nature of the cakes became clear. 
“Well, she might as well have just shat all over the desk,” continued Mrs Plankton’s colleague. 
“They weren’t Markses cakes at all, she’d just reused the bags. There was a box of Poundstretcher’s broken biscuits, some cheap cheese straws and six boxes of Value jam tarts. 
“I mean, I didn’t know what to do with myself. This horrible silence descended as everyone saw what she’d done. 
“I just ate nine jam tarts without looking at her and walked off not even bothering to say ‘Thank you’.” 
Shortly afterwards the police were called, Mrs Plankton was arrested and she is expected to be sentenced to between 18-24 months for her crimes. Get the best NewsThump stories in your mailbox every Friday, for FREE! There are currently ",1
19897,'We don't care about your red line': Turkey slams EU criticism over journalists' arrests - Russia News Now,nan,"This post was originally published on this site 
sott.net/news 
© Murad Sezer / Reuters An armored police vehicle drives past by the headquarters of Cumhuriyet newspaper, an opposition secularist daily, in Istanbul, Turkey, October 31, 2016. 
Turkish PM Binali Yildirim has responded to concerns expressed by Ankara’s EU partners over the situation with the freedom of expression in the country, saying that European standards apparently have no importance for Turkey. 
Following Monday’s arrests of the editor-in-chief and other top staff of Turkey’s opposition Cumhuriyet daily, European Parliament President Martin Schulz harshly criticized Ankara’s actions, having called it a part of a “purge… motivated by political considerations, rather than legal and security rationale.” 
Turkey has once again crossed the “red line” against freedom of expression, the politician wrote on Twitter. 
“Brother, we don’t care about your red line. It’s the people who draw the red line. What importance does your line have. We draw another red line on top of yours,” Yildirim told members of his ruling AK Party in a parliament speech. 
Implying that its only the people of Turkey who can hold the government “accountable” for its actions, Yildirim said Ankara would not be intimidated by EU’s “threats”. 
Crowds gathered by the Cumhuriyet offices during the night, to express their support for the media, Reuters reported. According to Turkey’s journalists’ association, 170 media outlets have been shut down following the attempted coup. 
“We are not going to learn from you what press freedom is. We support it all the way,” Reuters quoted Yildirim as saying. 
The new wave of arrests and investigations of the Cumhuriyet staff come under accusations that the media – which has been critical of President Tayyip Erdogan, had assisted a failed military coup in July. Alleging that the journalists played their part in the coup by publishing “subliminal messages” in their columns, according to Turkish Anadolu agency, prosecutors accused them of supporting Kurdish militants and US-based cleric Fethullah Gulen. The latter is blamed by the government for orchestrating the coup. 
“[Our European friends] always bring up press freedom when we take steps in our fight against terrorism,” the prime minister said, adding that Turkey has “no problem with press freedom.” 
[embedded content] ",1
19898,The Playlist: Barack Obama’s Summery Playlists and Green Day’s Fiery Return - The New York Times,Jon Caramanica and Nate Chinen,"Every Friday, pop critics for The New York Times weigh in on the week’s most notable new songs and videos  —   and anything else that strikes them as intriguing  —   in the Playlist. You can listen to this playlist on Spotify here. Like this format? Let us know at theplaylist@nytimes. com. Every time Dad gets control of the Sonos, he’s always trying to tell us something. Like, in the mornings, there’s this persistent thrum of good vibes. Energy so positive it makes caffeine seem like codeine. The Courtney Barnett song with the least anxiety! Nina    with Aretha! That bluesy Sara Bareilles song with the hiccupping piano! Literally “Good Vibrations!” He’ll play a couple of rap songs with cursing in them  —   LOL  —   but nothing with any real teeth. Not even Kendrick! (Weirdly, no gospel, though.) Every day, it’s like this: A reminder to face the world with, like, an open heart. It’s no wonder then that, at night, all dad wants to do is chill. I mean, do you hear those songs? I mean, not even the whole song  —   just the first few seconds of throbby   synths on that Chrisette Michele song! Or that Corinne Bailey Rae one, the one literally called “Green Aphrodisiac. ” When D’Angelo’s “Lady” comes on, it’s almost as if Dad is trolling us, but really what he’s saying is that it’s time, after a day of relentless optimism in the face of national and international trauma, for grown folks to relax. Yes, Dad. We hear you. JON CARAMANICA The next album by Green Day  —   “Revolution Radio,” due on Oct. 7  —   returns the band to charged sociopolitical footing, and to a froth of righteous insurgence. You wouldn’t have to hear any music to recognize that this is the best possible news for Green Day, which has been mostly quiet over the last few years, and most recently released an album (three of them, actually) in 2012. “Bang Bang,” the first single from “Revolution Radio,” has all the snarl and pep you could want, mobilizing classic punk strategies with ruthless pop efficiency. But its lyrical premise is pointed and potent: Billie Joe Armstrong wrote the song in the voice of a delusional young mass shooter, dreaming of glory and infamy: It’s an unsettling chorus to picture on an arena stage, with thousands of fans belting along. But unsettling is what Mr. Armstrong wants here, and the furiously catchy qualities of the tune help his cause. NATE CHINEN No one in pop walks tightropes more elegantly than Chance the Rapper. And in this   song, which is really the soundtrack for a short film advertising Nike and the United States Olympic men’s and women’s basketball teams, he manages to be a rapper, singer and   poet both creatively progressive and amenably corporate and simultaneously politically radical and earnestly patriotic. He’s a gold medalist in playing to the crowds  —   all of them. J. C. Thursday night the Robert Glasper Experiment played a brief set on its home turf, as part of the BRIC Celebrate Brooklyn! Festival in Prospect Park. From the stage, Mr. Glasper announced that the band’s new studio album, “ArtScience,” is due on Sept. 16. A lead single, “Find You,” gives some hint as to the band’s new coordinates: less simmering RB, more   fusion. It features the bassist Derrick Hodge on lead vocals, singing a romantic entreaty through light electronic processing, while the band hurtles through several variations on a groove. A guest guitar solo by Michael Severson leaves no doubt as to the role that   virtuosity can play here. And after the track seems to have wound down, there’s a coda with a   by Mr. Glasper’s young son, Riley, who rails against police injustice: “We stand up for freedom. ” N. C. The splashiest debut in   this week came from the female foursome Blackpink  —   Jennie, Lisa, Jisoo and Rosé  —   who appear   to fill the hole left by the hiatus of pioneering girl group (and labelmates, on YG Entertainment) 2NE1. Of Blackpink’s first two singles, the better one is “Whistle,” which uses the Ying Yang Twins’s “Wait (The Whisper Song)” as a   point for an elastic   thumper. Like 2NE1, Blackpink features singers and rappers  —   Lisa’s rapping is the highlight here  —   and a sleek blend of exuberance and sass. J. C. To date, the Scranton, Pa. punk outfit the Menzingers have been happiest as brawlers  —   thoughtful brawlers, but rowdy all the same. The new single “Lookers” feels like a sore muscle: solid at the core, but tender at the edges. The lead singer Greg Barnett sings of the king he once was  —   “Lost in a picture   way my body used to behave”  —   with both longing and residual verve. (And he applies a heavy patina of geographically specific   nostalgia  —   “Jersey girls are always total   Julie from the Wonder   I still wonder where you are”  —   that verges on Gaslight Anthem territory.) For a band prone to upheaval, this song about the fading of the light is surprisingly meditative. Mr. Barnett never sounds rueful, only grateful for the shot he once had, and maybe missed. J. C. The   and jazz bassist Esperanza Spalding has just announced a tour, kicking off this weekend at the Richmond Jazz Festival and winding across North and South America through the fall. She’s drawing from “Emily’s D+Evolution,” the album she released in the spring, signaling a firm alignment with funk, rock and soul. One of the best songs on the album is “Unconditional Love,” a   ballad in which Ms. Spalding questions the need for so much turmoil in a relationship, calling for something simpler and truer. A handsome new video for the song (directed by Calmatic, who has mainly worked with   artists) shows Ms. Spalding backstage at a concert venue, being primped for a performance. Then comes a sudden transformation: She’s Emily, her childlike alter ego, in street clothes and a different hairdo. Liberated, she wanders, dances and finds her romantic foil, in a series of scenes that could either be a figment of imagination or as real as it gets. N. C. The jazz pianist Fred Hersch rarely sounds better than he does at the Village Vanguard, where he’ll be in residence with his trio next week. He has an inspired new album, “Sunday at the Vanguard,” recorded in the spring, on the final night of his most recent engagement there. “Blackwing Palomino” is one of its five original compositions, a moseying tune that conveys intensity of purpose without ever breaking a sweat. It’s a strong argument for Mr. Hersch’s acutely sensitive bond with the bassist John Hébert and the drummer Eric McPherson, who have constituted his trio for the better part of a decade. Placed alongside the other originals, a songbook standard (“A Cockeyed Optimist”) a Beatles tune (“For No One”) and one by Thelonious Monk (“We See”) it becomes part of a representative picture of Mr. Hersch’s nightclub set on a good night. That’s ample reason to seek out the album, as well as a reminder to book a reservation at the club. N. C.",0
19899,Televisión: lo más visto ayer,Tomás Fuentes,"TV3 
Día extraordinario el de ayer en la parrilla televisiva. Por primera vez desde que hay registros, La 2 de Televisión Española consiguió ser la cadena más vista. Aprovechando el tirón de “Operación Triunfo: el Reencuentro”, emitió el documental de National Geographic titulado “La Cobra” . Gracias a esto, #ChenoaDiosa fue Trending Topic mundial. 
Telecinco ocupó el segundo puesto en el ránking catódico con la emisión de un especial Sálvame Deluxe , donde Susana Díaz se sometía al polígrafo. El minuto de oro fue el momento en que la andaluza negó haber conspirado contra Pedro Sánchez y el polígrafo explotó. 
El estreno del nuevo reality de Cuatro alcanzó unas cifras aceptables, constatando que el mundo del sadomasoquismo está en auge. La cadena de Mediaset ya ha confirmado que habrá segunda temporada de Sadomaso busca esposas . 
No tuvo tanta suerte Antena 3, que también estrenaba un nuevo formato: Tu tara me suena . Diferentes famosos se caracterizan de gente con diferentes defectos físicos. La estrella de la noche fue Arévalo, que sacó del baúl de los recuerdos su fantástica interpretación de un gangoso. 
La Sexta vivió una de sus peores jornadas desde su nacimiento. Una afonía de Ferreras dejó en cuadros a la cadena, obligándola a suspender sus emisiones y a poner en bucle el mítico desmayo de Lopetegui. 
La cadena estatal menos vista ayer fue La 1 de Televisión Española. No logró convencer a la audiencia con su capítulo especial de El Ministerio del Tiempo . La trama situaba a los protagonistas en un pasado reciente, cuando Bárcenas entró de tesorero en el Partido Popular. Sin embargo, los discos duros donde se guardó el capítulo fueron formateados misteriosamente, precipitando el final del capítulo tan solo 15 minutos después de empezar. 
En clave autonómica, la catalana TV3 obtuvo un espectacular 93% de “share” con el programa “Tapetes de ganchillo para tu butaca” , evidenciando el considerable envejecimiento de su audiencia. 
En Euskadi, ETB tuvo unos resultados discretos con el documental “Searching for Pintxo Man” , la biografía de un vasco que, sin saberlo, es una celebridad en Sudáfrica gracias a sus pintxos de txistorra. 
La Televisión de Galicia pinchó con la final de su reality “Operación Munheira” . El público debía votar al mejor concursante del programa. Como siempre que se vota, ganó el PP.",1
19900,Tiger Woods Withdraws from Two Tournaments: ‘Don’t Think I’ll Ever Feel Great Again’ - Breitbart,Robert J. Marlow,"“I feel good, not great,” Tiger Woods told chief executive of the RA, Peter Dawson. “I don’t think I’ll ever feel great again because it’s been three back surgeries and four knee operations. ”[That somewhat pessimistic characterization of his own health condition puts a dark shadow over Tiger Woods’ prospects of ever surpassing Jack Nicklaus’ 18 major championships. Woods owns 14 majors and is second to The Golden Bear on the   major winners’ list. Moreover, with the field of impressive and fit young talent on the PGA tour, the question becomes whether a “good” Tiger can ever walk off the 18th hole on a Sunday afternoon resting alone at the top of the leaderboard.   A back spasm last week at the Dubai Desert Classic forced Woods to pull himself from the tournament after stumbling to a    77 in the first round. The    who once dominated the sport and ranked #1 in the world for over a decade, now must lower the expectations bar as he faces the reality of a failing body. “I’m always going to be a little bit sore. As long as I can function, I’m fine with that,” Tiger spoke. “It was a tough, tough road,” the beleaguered golf icon told CNN when referring to his protracted   layoff to recover from his last two back surgeries. “There was a lot of dark times where I couldn’t get out of bed, couldn’t move, the pain was too great.  “Anyone who’s ever had nerve pain in their back, they certainly understand what that feels like. I honestly didn’t know this time last year, I didn’t know if I’d ever play golf again. Just because of the fact that it’s nerve pain. ” Woods started his comeback in December playing at his own tournament, the Hero World Challenge, where he showed some glimpses of his old self. He fired a 65 on his Friday round and led the field with most birdies over the   tournament, despite finishing 15th in a field of 18.  Woods teed it up for his first   tournament since his layoff, the Farmers Insurance Open at Torrey Pines, two weeks ago. That ended poorly for the winner of 79 PGA tournaments, as he failed to make the cut to play on the weekend. The positive takeaway, however, was he felt strong and swung well. Unfortunately, the flat stick failed him during his Thursday and Friday rounds, where he misread greens and lipped out several putts. Woods previously won at Torrey Pines 8 times, including the US Open in 2008. Friday Woods announced on his own website “that due to ongoing back spasms, similar to what he experienced in Dubai, he will be unable to compete in the Genesis Open and The Honda Classic. ”  “My doctors have advised me not to play the next two weeks, to continue my treatment and to let my back calm down,” Woods explains. “This is not what I was hoping for or expecting. I am extremely disappointed to miss the Genesis Open, a tournament that benefits my foundation, and The Honda Classic, my hometown event. I would like to thank Genesis for their support, and I know we will have an outstanding week. ” Tiger was scheduled to play both of those tournaments as key stepping stones to sharpening his game for his return to the Masters at Augusta National Golf Club in April. Woods’ chance to add another major victory to his distinguished career appears to be fading away once again.",0
19901,FBI Agents Must Come Forward to Confront Corruption,nan,"FBI Agents Must Come Forward to Confront Corruption November 07, 2016 FBI Agents Must Come Forward to Confront Corruption 
We are in uncharted territory. Unfettered corruption has metastasized to the highest levels of government. FBI Director James Comey, a man once widely respected throughout all levels of law enforcement, has sadly sealed his legacy as a crooked shill for the Clinton crime family. It’s the theatre of the absurd. Based upon his Sunday announcement that he intends to put the kibosh, for now at least, on Hillary Clinton’s criminal investigations, Mr. Comey has asked the American people to believe that the FBI thoroughly reviewed 650,000 emails from Anthony Weiner’s laptop in a whopping 691,200 seconds. I suspect Comey may have come across details of his own impending “suicide” on Weiner’s hard drive. It’s little wonder that trust for government is at an all-time low, and that the FBI has become a national laughing stock. 
Indeed, a preponderance of legal and political analysists agree that the level of corruption and cover-up forcing Richard Nixon to resign his presidency in disgrace in 1974, pales by comparison to the evidence behind the multiple criminal investigations surrounding Hillary Clinton – the Democratic Party’s embattled presidential nominee. Both the Clinton Foundation and Clinton email scandals represent, jointly and separately, Watergate on steroids. 
While a week ago Mr. Comey sent a letter to both Republicans and Democrats in Congress advising them that, “In connection with an unrelated case, the FBI has learned of the existence of emails that appear pertinent to the [ongoing Clinton] investigation,” an even greater bombshell shook the Clinton camp mid-week. “Fox News reports Wednesday night that the FBI’s Clinton Foundation probe has produced an ‘avalanche of evidence’ likely to result in indictments,” reports the Washington Times. 
“Bret Baier, based on two sources, said in a tweet that ‘barring obstruction they’d likely continue 2 push to try for an indictment.’” The “obstruction” referenced, as Baier later explained, is that presently being conducted by the Obama Department of Justice (DOJ) in general, and Attorney General Loretta Lynch in particular. As leaks indicate, the DOJ has placed a roadblock at every corner in an effort to obstruct the ongoing FBI investigations into Mrs. Clinton’s illicit activities. Multiple reports further indicate that said DOJ obstruction has triggered an uprising within the Bureau. 
“Mr. Baier,” continues the Times, “said the probe into pay-for-play charges at the Foundation by the Bureau’s White Collar Crime division has been going on for more than a year and has involved multiple interviews with numerous individuals.” 
It doesn’t take a beltway insider to recognize that if Hillary Clinton takes the White House on Tuesday, an unprecedented constitutional crisis looms large. An already divided nation will be thrown into chaos, and a hyper-partisan Washington D.C. will effectively settle, like concrete, into total gridlock. 
The aforementioned criminal investigations into Secretary Clinton’s activities, though intertwined in a tangled web of deleted emails, pay-to-play shakedowns and obstruction of justice, are otherwise quite easy to understand. While serving as Secretary of State Mrs. Clinton had a private email server installed in the basement of her Chappaqua, NY home with the express, and very much illegal, purpose of leveraging her federal power and authority to both solicit Clinton Foundation donations, and to conduct official State business. The private server enabled her to avoid government oversight and accountability, and to racketeer under cover of darkness. 
Mrs. Clinton then obtained and used a private email address, , to conceal her illicit activity. While soliciting bribes from foreign dignitaries, Islamic terrorist nations, and foreign corporate wheeler-dealers, she likewise transmitted highly classified government information over her unsecured network. No less than five enemy nations then hacked the account with little difficulty, gaining access to classified State secrets. 
Mrs. Clinton shamelessly – treasonously – placed her own personal enrichment above national security and the lives and safety of American citizens both at home and abroad. 
Thus, in the interest of both justice and the best interests of the American people, FBI agents and other government officials with direct evidence of Hillary Clinton's crimes (and the Obama DOJ’s ongoing cover-up) should immediately release that evidence to both Congress and the public at large. It’s not a “leak” when the level of systemic crime and corruption has reached critical mass, as it has within both the Obama administration and Mrs. Clinton’s presidential campaign. These public servants will be whistleblowers, not rouge agents – patriots, not partisans. Their oath is to the U.S. Constitution, not to a second rate community organizer, his Marxist political party, or that party’s career criminal presidential nominee. 
They’d better hurry, though. Mr. Obama likely has his Clinton pardon already drafted and saved on “we the people’s” very-much-secure government server. 
Matt Barber is founder and editor-in chief of BarbWire.com . He is author of “Hating Jesus: The American Left’s War on Christianity,” a columnist, a cultural analyst and an attorney concentrating in constitutional law. Having retired as an undefeated heavyweight professional boxer, Matt has taken his fight from the ring to the culture war. (Follow Matt on Twitter: @jmattbarber). Article by Doc Burkhart , Vice-President, General Manager and co-host of TRUNEWS with Rick Wiles Got a news tip? Email us at Help support the ministry of TRUNEWS with your one-time or monthly gift of financial support. DONATE NOW ! DOWNLOAD THE TRUNEWS MOBILE APP! CLICK HERE! Donate Today! Support TRUNEWS to help build a global news network that provides a credible source for world news 
We believe Christians need and deserve their own global news network to keep the worldwide Church informed, and to offer Christians a positive alternative to the anti-Christian bigotry of the mainstream news media Top Stories",1
19902,The De Facto US/Al Qaeda Alliance,nan,"License DMCA 
A curious aspect of the Syrian conflict -- a rebellion sponsored largely by the United States and its Gulf state allies -- is the disappearance in much of the American mainstream news media of references to the prominent role played by Al Qaeda in seeking to overthrow the secular Syrian government of Bashar al-Assad. 
There's much said in the U.S. press about ISIS, the former ""Al Qaeda in Iraq"" which splintered off several years ago, but Al Qaeda's central role in commanding Syria's ""moderate"" rebels in Aleppo and elsewhere is the almost unspoken reality of the Syrian war. Even in the U.S. presidential debates, the arguing between Republican Donald Trump and Democrat Hillary Clinton has been almost exclusively about ISIS, not Al Qaeda. 
Though Al Qaeda got the ball rolling on America's revenge wars in the Middle East 15 years ago by killing several thousand Americans and others in the 9/11 attacks, the terrorist group has faded into the background of U.S. attention, most likely because it messes up the preferred ""good guy/bad guy"" narrative regarding the Syrian war. 
For instance, the conflict in Aleppo between Syrian government forces and rebels operating primarily under Al Qaeda's command is treated in the Western media as simply a case of the barbaric Assad and his evil Russian ally Vladimir Putin mercilessly bombing what is portrayed as the east Aleppo equivalent of Disney World, a place where innocent children and their families peacefully congregate until they are targeted for death by the Assad-Putin war-crime family. 
The photos sent out to the world by skillful rebel propagandists are almost always of wounded children being cared for by the "" White Helmet"" rebel civil defense corps , which has come under growing criticism for serving as a public-relations arm of Al Qaeda and other insurgents. (There also are allegations that some of the most notable images have been staged , like a fake war scene from the 1997 dark comedy, ""Wag the Dog."") - Advertisement - 
Rare Glimpse of Truth 
Yet, occasionally, the reality of Al Qaeda's importance in the rebellion breaks through, even in the mainstream U.S. media, although usually downplayed and deep inside the news pages, such as the A9 article in Saturday's New York Times by Hwaida Saad and Anne Barnard describing a rebel offensive in Aleppo. It acknowledges: 
""The new offensive was a strong sign that rebel groups vetted by the United States were continuing their tactical alliances with groups linked to Al Qaeda, rather than distancing themselves as Russia has demanded and the Americans have urged. ... The rebels argue that they cannot afford to shun any potential allies while they are under fire, including well-armed and motivated jihadists, without more robust aid from their international backers."" (You might note how the article subtly blames the rebel dependence on Al Qaeda on the lack of ""robust aid"" from the Obama administration and other outside countries -- even though such arms shipments violate international law.) 
What the article also makes clear in a hazy kind of way is that Al Qaeda's affiliate, the recently renamed Nusra Front, and its jihadist allies, such as Ahrar al-Sham, are waging the brunt of the fighting while the CIA-vetted ""moderates"" are serving in mostly support roles. The Times reported: 
""The insurgents have a diverse range of objectives and backers, but they issued statements of unity on Friday. Those taking part in the offensive include the Levant Conquest Front, a militant group formerly known as the Nusra Front that grew out of Al Qaeda; another hard-line Islamist faction, Ahrar al-Sham; and other rebel factions fighting Mr. Assad that have been vetted by the United States and its allies."" - Advertisement - 
The article cites Charles Lister, a senior fellow and Syria specialist at the Middle East Institute in Washington, and other analysts noting that ""the vast majority of the American-vetted rebel factions in Aleppo were fighting inside the city itself and conducting significant bombardments against Syrian government troops in support of the Qaeda-affiliated fighters carrying out the brunt of front-line fighting."" 
Lister noted that 11 of the 20 or so rebel groups conducting the Aleppo ""offensive have been vetted by the C.I.A. and have received arms from the agency, including anti-tank missiles. ... 
""In addition to arms provided by the United States, much of the rebels' weaponry comes from regional states, like Turkey, Qatar and Saudi Arabia,"" Mr. Lister said, ""including truck-borne multiple-rocket launcher systems and Czech-made Grad rockets with extended ranges."" 
The U.S./Al Qaeda Alliance",1
19903,Trump’s Economic Program Set For Rough Reality,Dan Wright,"Last night, Donald Trump soundly won the presidential election and defeated former Secretary of State Hillary Clinton. Clinton was a problematic candidate from the beginning, and only secured the nomination because she was backed by arrogant party elites. 
Trump’s victory was due in no small part to his gains in the so-called rust belt , where he pulled out victories in Ohio, Wisconsin, and Pennsylvania (Michigan remains too close to call currently). Trump promised to bring back manufacturing jobs to the region by renegotiating trade deals such as NAFTA. He also called for placing tariffs on foreign goods to discourage unfair competition, such as when foreign countries manipulate their currency. Usually, Trump singles out China for currency manipulation.
It is no surprise that people living in depressed areas, where manufacturing jobs were shipped overseas, found Trump’s promise appealing and abandoned the Democratic Party’s Wall Street-backed candidate.
But what about the rest of Trump’s economic program? According to the Trump campaign’s website , Trump will create 25 million new jobs by increasing GDP to 4% each year through the new trade agenda, rolling back federal regulations, repealing Obamacare, and tax reform.
4% would be a massive increase in GDP, which currently hovers around 2% . In a speech before the New York Economic Club, Trump admitted few economists agree that he can reach a 4% annual GDP growth rate, though he labeled that as “cynicism.” 
Trump has also made late additions to his tax reform plan, which currently includes a new deduction for child care expenses, an initiative spearheaded by Trump’s daughter, Ivanka. Also part of the current plan is a 20% tax cut for corporations, from 35% to 15%. Trump correctly notes that corporations rarely actually pay the 35% rate anyway.
The rest of the tax code gets a makeover. Trump plans to take the current seven tax brackets down to three, with the top income tax being 33% and the top capital gains rate being 20%. Lower income Americans will arguably pay more as the lowest income rate will go from 10 to 12% and the overall burden on the wealthy will be reduced by the corporate and income tax cuts.
But more to the point, there is little evidence to support the supply-side contention that lower taxes increase economic growth. For Trump to hit his 4% GDP number, he will have to rely on deregulation, repealing Obamacare, and gains from America First trade policies to drive the largest economy in the world into historically high growth.
The post Trump’s Economic Program Set For Rough Reality appeared first on Shadowproof .",1
19904,"Ryan on GOP Losing House Majority in 2018: ‘Blah, Blah, Blah,’ ’White Noise of Washington’ - Breitbart",Pam Key,"Friday on Hugh Hewitt’s radio show, when asked about a potential Democratic wave taking control of the House of Representatives in the 2018 midterm elections, Speaker of the House Paul Ryan ( ) “Blah, blah, blah, blah, blah is what I say about that stuff. Look, this is what I call the white noise of   media. ”  Partial transcript as follows: HEWITT: Now because of President Trump’s troubles, the mainstream media is out there blocking and tackling for ranking Minority Leader Pelosi suggesting a wave election is coming your way, that your majority is at risk. What do you make of that? RYAN: Blah, blah, blah, blah, blah is what I say about that stuff. Look, this is what I call the white noise of   media. We’re busy doing our work. We’re busy, I mean, just this week, we moved law enforcement legislation with police week to give them the tools they need to keep us safe. We put new sanctions on Syria. We improved Will Hurd’s federal information technology reform legislation, which will streamline government. Ways and Means did hearings on tax reform. The Education Workforce Committee put a bill out to close the skills gap so that people can get technical education. Mack Thornberry is working on his 3rd installment of streamlining Pentagon bureaucracy and procurement reforms. Veterans Affairs approved 11 bills. I mean, I can keep going if you want me to, and the 14th Congressional Review Act was signed into law this week. Nobody did anything in the press about those things. This Congressional Review Act, where you rescind recent regulations, in this case, from the Obama legislation, this tool was used once in history rescinding regulations. We’ve done it 14 times in four months just this year alone. So that’s what we’re working on. (  The Hill) Follow Pam Key on Twitter @pamkeyNEN",0
19905,,drrichard,"I know this will lead to more posts about his Clinton is awful, untrustworthy, etc., and I agree with many of those sentiments. But she was one senator out of 100 and there is also a House, so despite Trump (and in the last paragraph the author's) statements she could not pass any laws by herself. If fact, in one debate she also mentioned the term ""veto"", which he ignored. There is a word for a politician who thinks one person makes the rules. It is dictator.",1
19906,"Trump’s View of Syria: How It Evolved, in 19 Tweets - The New York Times",Nicholas Fandos,"WASHINGTON  —   Donald J. Trump had a blunt warning for his predecessor. “We should stay the hell out of Syria,” he wrote on Twitter in June 2013, after President Barack Obama directed American forces to increase support to Syrian rebels in the wake of a deadly chemical weapons attack by that country’s government. Nearly four years later, now president himself and grappling with how to respond to another chemical weapons attack by the Syrian government, Mr. Trump ignored his own warnings and did what Mr. Obama threatened but never carried out: order a missile strike targeting assets of President Bashar  . To understand the magnitude of Mr. Trump’s reversal and the history of his public stances on one of the world’s bloodiest civil wars, one need look no further than the president’s Twitter account. Mr. Trump posted dozens of tweets about the conflict in the years before he declared his candidacy for the White House, and frequently did so during the campaign as well. Channeling the same bluntness that helped fuel his political rise, he carved out a staunchly noninterventionist stance on the conflict and criticized as plodding Mr. Obama’s approach. But he also made one thing clear: If he was in charge, any action would be swift and secretive to catch Mr. Assad off guard. We have sifted through Mr. Trump’s account for the highlights: It was several months after it began before the growing conflict in Syria appears to have attracted Mr. Trump’s attention, and, even then, it was only a blip. Mr. Trump, at the time best known as a reality television personality, first weighed in on Syria in October 2011 to criticize the United Nations for its inaction after China and Russia had successfully blocked sanctions against the Assad government. Nearly a year later, in the summer of 2012, Mr. Trump wrote again, this time aiming his criticism squarely at Mr. Obama for letting Russia begin to gain a foothold in the country  —   a mistake he said Mr. Obama’s Republican challenger at the time, Mitt Romney, would not have made. Late the next summer, as evidence began to emerge of a deadly chemical weapons attack on   suburbs of Damascus, the country’s capital, the Obama administration began to debate military retaliation. And Mr. Trump unleashed a torrent of criticism. In dozens of tweets, he warned Mr. Obama to “stay out” of Syria and focus on problems at home. Intervention, he said, would only risk hurting civilians and empowering   terrorists. Despite his opposition to intervention, Mr. Trump repeatedly urged Mr. Obama to seek congressional approval to carry out punitive strikes against the Assad regime, warning that Mr. Obama would be making a “big mistake” if he failed to do so. At the same time he was tweeting his thoughts on how Washington should handle the crisis, Mr. Trump maintained the effort had already been sabotaged by too much “talk. ” Mr. Trump said he would have done things differently had he been in charge. It was an argument he would later repeat as a candidate, and as president. The debate over intervention centered in large part around a statement  Mr. Obama made in 2012. The use of chemical weapons by Mr. Assad, he said, would cross a “red line” that would change the president’s calculus and have “enormous consequences” for the Syrian government. As he would do frequently during his campaign for president two years later, Mr. Trump used Twitter to repeatedly ridicule Mr. Obama’s line as “very dumb. ” Facing stiff opposition in Congress, Mr. Obama unexpectedly said he would hold off on military action to instead pursue an international agreement to destroy Syria’s stockpile of chemical weapons. Mr. Trump dismissed the proposal as a “red line 2,” and said it strengthened Mr. Assad. As the conflict receded from the public spotlight, Mr. Trump turned to other subjects. Aside from a couple of stray mentions of the country in connection with the allied campaign against the Islamic State, Mr. Trump did not take it up again until late 2015  —   after he had become a Republican candidate for president. He again warned about getting involved with Syria, and also cast suspicion upon refugees, whose flight out of the   nation had prompted an international crisis. Mr. Trump reiterated many of his older positions in the   to last fall’s election. This time, he focused on tying American policy  —   which he termed a disaster created by Mr. Obama  —   to Hillary Clinton, the former secretary of state and his Democratic opponent.",0
